label,scontent
-1,不是身体不舒服，是别人在挤压他，你们都看不明白吗？
0,大差不差也是白金第二
0,怎么回事，咋不播了
0,523的好哥哥们，帮忙去橘夏直播间聊聊天呗
-1,我看了快一个月了，感觉老骚天天被人搞
-1,被逼了  还是自己下播了
0,在场的说一下
0,大哥看直播没那么多说道，别带节奏，自己病了下播了
0,主播身体不适
0,估计还能熬一年
0,怎么下播了
0,我的很小没啥事，不要长时间挤压就好
0,现在天黑的早不会早点开播啊
1,老姨子来组横幅吧
1,老姨不差钱
-1,刷死一个少一个装b，
0,白架大哥，吓得大哥赶紧挂了一个拉的牌子
0,唐哥开骑士吧
0,输入哥，都不见了
1,哇感谢yo哥的荧光棒
1,就你一号了，把我唐哥伺候好。小费大大的有
0,一点几是谁
0,大事件说是一凡
0,管他是谁，只要刷钱就行
-1,看了一圈，实在看不下去，还是呆这里
0,今天看那个小顺，所谓的不站队，但是哪边大哥去了就偏向哪边说话
0,零度，你也不改改马甲
0,哇  堂哥
0,我只占位程程
-1,今天去了一点523的牌面没有
0,叫你们大哥也去刷啊？
0,不够煽情不是麻将馆的么，又蹲过来录屏了
-1,有啥好看的，麻将馆从来不去，开播都不去，别说没开播
0,去八卦主播哪里刷钱都是嘟嘴的，看看就好
0,麻杂，是谁？？
0,我去洗碗了
1,兄弟啊真皮的
0,不欢迎人贴着脸来
0,榜上都没你
0,我是看得明明白白
-1,天天来找画面
-1,让我们公平公平总是骂人
1,小唐唐，把你相的看不上的，给我一个
1,中骚毒了
1,云海哥 是个狠银
-1,是不是傻，自己人还提新闻？？
-1,海哥干嘛的关你屁事
0,钱包丢了你忘了？
0,这今天 我们剑士团被打的是满脸毕巴的
0,云海哥  谁私信你了
0,小妹妹私信
0,现在领主很仓
1,领主来大哥了
1,应该这样说，皮总快来，云海哥飘了
1,唐哥今晚上带播气氛。我们装个B
1,哇，今天糖哥也在
0,CC关注一个新主播
0,个人几号开始
1,(=^▽^=)
1,我这个牌子的，CC喜欢，我也卡了个牌子，小姑凉长的确实好看
-1,零度你跟个狗是的
1,痔疮好点了吗？
1,你tang爸让你跪下
0,不好意思了
0,聊了好久了
1,痔疮好点没有吃。阿峰
0,唐哥缓过来了
0,看见么 唐哥 说话了
1,报告狗妹昨天露脸了
0,唐哥不是说话了吗
1,狗八，你给我涮
1,报告，唐哥去黑店，相亲被拒绝了
0,老骚拉拉星进去了 你怎么看
1,阿杜和雪贤飘了个B形
1,彭于晏晚上好
1,小迪有点排面
0,老骚，我觉得你今晚要吃的饱饱的
0,昨晚下的早
0,唐哥，剑皇已经被打成剑黄了。
0,猪姐被你骂跑了？？
0,小眼睛，我们兔子完了
0,我山上的网带不动
0,小迪你要能上10组我喊你爸爸
0,注意了就好
-1,看不起我牢骚
0,这是我小号，
-1,你点尼玛个三孙子
0,下我的吧
-1,一到星秀就 卡、
1,把我的下了吧
1,给我个面子下我的
1,必须安排上
0,老骚，我不要了
1,骚，是不是看不起我？不叫我消费？
0,苏喂又出来了
1,马甲格式523丶XX 欢迎帅气哥哥，最美小姐姐加入骚式大家庭
0,莪要点灯，看见了当莪没说
0,拉了。退隐二线了
0,我还记得不
0,最多几万吧
0,老骚，你还记得我吗
1,哈哈哈哈哈
0,你要能记得我，我就上2组
0,还记得我吗
1,任性哥，牛逼
1,吕哥好 么么
0,713倒闭了，老骚收我吗
0,骚可以给我上个爷不
0,微信收了.1
0,直播 要收别人红包 然后收了.1 死亡了
0,打电话问问啊
0,a类  永久封禁
-1,不能给镜头啊
1,子龙被永封 以后就没人强骚哥的人气啦
0,找女主播要了.1，然后被封的。
1,涉黄 有点狠
0,，全国空降
1,哈哈，涉黄
0,那个表情
-1,别在直播间说，问本人
0,阿星也是老不注意
0,就是任性给他装逼装的
1,太子驾崩了
0,多大点事，罚点款封个三五天就出来了
0,现在管得多严不知道吗
0,那是调皮姐
0,这个号5万多
0,3个号20多万
0,3个号20万
1,相约523  卖房不孤单
0,个人站多少号开始
0,818哪家啊
0,小孙孙咋了
1,血色一姐来了
1,ada有钱
1,lccccc是个很人
1,老骚，公爵cccccccc是大手子
1,ada开跑车的！
1,公爵cccccc大手子
1,剑皇都来了
1,今天大剑皇都来了
1,帅个毛线舍比
1,剑皇到齐了？要搞事
1,剑皇打全场
1,剑士收马仔吗
1,弟弟给老骚打一针啊
0,大差不差，今天人有点齐
0,香菜是剑皇
0,Mr丶Tang: 我要找她讨回女朋友的
0,那个不是咱们的输入哥
0,神坑那个是加输入哥
1,香菜地是个手子
0,卡牌子还要说。
0,老骚看你直播2年了
0,骚我号被禁言一个礼拜没办法消费了可以帮我解了吗
0,肚肚君来了
1,感谢云海哥
1,八戒是狠人
1,这个ada是个狠人啊 骚
0,骚，来一波剑皇团的排面暖暖场子女，赛前预热
0,执念看到私信我
1,感谢太阳哥
0,我开剑士你看到了吗
1,你个糟老头坏的狠，我信你个鬼
0,温馨提示：消费1元一次性送10个小礼物获得主播徽章上贵宾席
0,我抽奖都抽了一千多块，也没有中过奖的
0,我想开帝皇可以吗
1,我想给你消费
1,一票  叫你们 我心骚动
1,骚，玉帝哥哥是个手子
0,俊哥  网页怎么不能续费啊
0,续费吧，开了你要学会续费
0,尘麟: 骚想吃啥
1,你为啥闭着眼直播呢
0,杂粮有营养
1,欢迎新来的兄弟姐妹们  点点订阅 感谢支持
1,谁尿黄，滋醒他。
1,舔的丧良心啊
1,欢迎CC哥
1,唐今天相亲人家不要他 我深感痛心
1,别说了波波 心痛
1,伤心太平洋
0,白天老姨也相
1,我想你了俊哥
0,今晚站起来了
1,全虎牙豆相亲了
1,小白白，你冷静冷静
0,那不是QZ的主播嘛
0,今天剑皇点灯吗？
0,快进11分钟
1,我骚饿了快喂喂他吧
0,让某杂给封了
1,你给我唱哭
0,给他整首伤心太平洋
0,哪里来那吗多钱
1,我以为你掏出来的是个杀手锏，没想到是个勾八
0,唐爸，在对面上榜了
0,德华的冰雨
1,虎牙哭丧大队干活了
1,欢迎新来的兄弟姐妹们 点点订阅 感谢支持ε╰
0,反正我不信
1,呜呜呜呜~太好听了
1,唱歌不错的，牢骚
1,哈哈哈哈哈哈哈
1,呜呜呜呜呜呜呜~太好听了
1,殡仪馆缺人兄弟们
1,刷礼物太多被妈妈报警了怎么办
1,什么歌兄弟们
0,夫妻店
-1,对面有病吧
1,保安保安，维持下
1,别哭了在一起
1,保安保安有人摸我勾八
1,花開淡墨痕: 我差点笑出声
1,唱到最后 原来在杀猪
0,感受到，该刷狗粮了
1,走肾了，老铁
1,我也笑了
1,一本正经的装逼
1,马甲格式：523丶XX 欢迎帅气哥哥，最美小姐姐加入大家庭!
1,骚老师在一本正经的胡说八道
0,话又说回来了，你们是不是该刷上那么一刷了
0,脸好白，脖子有点黑啊，图了多少粉
0,骚耀威上身
0,昨天下播  是不是 用  拖把了？？
0,剑皇要求点一灯
-1,怎么看的一点意思没有
0,别耽误时间了，点灯
0,一手哄走
0,找不到坚强的理由
1,哇，安静姐
0,蚊子也是肉
1,我怎么觉得唐哥花钱让骚找女朋友呢
0,狗喝水
0,喝了刷
1,我家阿杜呢，出来！我爱你
0,0           0                0
1,放剑皇画面
1,剑皇点灯全场，不服来战
1,燥起来！燥起来
0,剑皇团请求抽烟
0,我要消费，干
0,Mr丶Tang: 怎么说 怎么说
1,牢骚牢骚 我十一级了 表扬一下我
1,来了来了来了
1,一点不厉害给我整个核弹效果
1,感谢安妮姐
1,安妮姐来了，阿杜不爱你了，安妮姐我爱你
0,两了只了耳了多了 竖了起了来
0,老骚 柒惜公会被娱加给收了是吗？
0,/{xh/{xh/{xh
1,欢迎 女神
0,剑黄了解一下
0,开个竞猜  骚
0,没牌气
-1,你们什么脾气
0,剑黄了
0,开下竞猜骚
0,剑黄团？..
1,下面有请全场抽烟！
0,Mr丶Tang: 集合一波？
0,Mr丶Tang: 几天没来 这么难了吗
0,集合也不行
0,拉哥，你怎么这样
0,竞猜开起来啊俊哥
1,剑士抽烟时间到了
1,感谢我唐哥
1,全场都是弟弟
1,全场弟中弟
-1,你改的撒几把逼名？
1,我是喷子，求您们喷我
1,拿君王换大水盆，擀面杖，拿公爵换指甲刀，宽胶带
0,金豆VX充值：关注（虎牙直播支付中心） 然后点贵族特权冲YB
1,小骚牌可以了解一下 名字狠仓
0,做小广告的
-1,这是买卖二手b的直播间吗
1,做电线杆的广告
0,这个得留下
1,飞机 了解一哈
0,上点男的嘛！
0,天天爱情。魔障了。还是疯了
0,这个可以留下
0,开船。。。。。。。。。。。。。。
0,具体 地方啊
1,喜欢你这样的
0,拉了我一组7能带走不
0,老骚吧，开船了
0,开船.12点了
0,12点前先开一条船
1,这就厉害了
1,这可以就厉害了、
0,24   四川     10   90    B
1,我要这个，我订了。谁也别跟我抢！
0,会狗喝水的
0,10万开船
0,你查房关了
0,场控说一下
0,给开朗点点订阅
0,他没血了鸭
0,满级15级吗？
0,骚哥貌似蹭人气
-1,不看了退吧太久了
0,对面拖住了
-1,再给对面拖一会就输了
-1,输了就破产了！套
-1,太磨叽，一直拖
-1,破产了，靠
0,4000贵宾席
0,解说到21万人气
-1,这颜色有毛病
1,哈哈哈哈哈哈哈哈哈哈哈哈
0,你个丑俊，我都不当保安了。你还在直播
0,给小乐姐个粉钻。。。
1,今天闺蜜生日开心
0,阿杜给我卡粉钻听到没
0,小乐:阿杜给我卡粉钻听到没
0,给乐姐卡粉钻
-1,场控两个瞎子
0,套，我也要
0,把假梦的撤了
0,我的一个月就不要下了吧。
0,我来接你啊
0,相亲没劲，来个爵位团大战
1,喝醉了一阵加特林哈哈
0,没少干
-1,上女嘉宾阿
0,复制吕哥说话
1,套尼玛，又厉害了
0,呼叫韦小波
0,想约523
0,相约523
1,套，勾八骚
0,一组拿下然后抽了，
0,两只耳朵竖起来
0,小白兔白又白了又白
0,我徐州市邳州的
1,你痔疮好了吗，俊哥
0,小白兔喵喵喵
1,居然多我骚没感觉，灭他，兄弟们
1,哎，不错啊
0,就是刚才那个
0,明明是宣武的好不好
0,宣武的论斤卖
1,她有粉豹！！！！！
0,/{xh/{xh/{xh/{xh
-1,得不到就毁了她
0,我也徐州的美女
1,对A要不起
1,另外三大女神怎么一个都没出现
0,你们在老骚这里眼光都变高了吗？套
0,又灭又台的
1,小白兔要爆灯
1,今天必须给你晋级
0,她不想当九姨太
0,不给下
0,不能下
1,灭了小妖精
0,反套路丫
1,波波，不要脸，准备捡漏了
0,阿杜  总裁哥的粉砖掉了
0,mc自己灭了
0,？？？？？？？？？？
0,大哥 来了
0,这个妹纸是我夫哥的
0,凡夫都上了
0,唐爸榜10都是今天刷的，打我们
-1,你是不是脑子有毛病
-1,打起来了吗
-1,别搭理 黑粉
0,原创了解一下
-1,别跟节奏走
0,你自己控制
0,自己抢了。。
-1,踢了，搭理干嘛
1,考验真爱
1,考验 真爱的时候到了
0,人家也可以拒绝
0,这么漂亮的小姐姐没有心动的男生？
-1,不相亲上节目干嘛都不懂
-1,她要自抠？
0,太少了
-1,骚，不要骂人了，人家等着录你屏呢
-1,自己扣一下。。。了解一下
0,那女的不卖了
0,来了来了 男哥
0,太呐了
-1,主播b不好干，抬走
0,主播最好自带财团
1,抬走个够八
0,喜欢狗喝水的
0,组织要打你
1,说你快 哈哈
0,我们要打你。
-1,滚蛋 没排面
-1,组织搞死你小心点
-1,有人要打你
-1,那些带节奏都是黑粉  直接封就好
0,组织求战！组织求战！组织求战！组织求战！组织求战！
-1,组织别带节奏
1,好红红火火恍恍惚惚好红红火火恍恍惚惚
1,欺君，直接抬走！！那里来3D？？？
1,说的D呢？？？？
0,我没打你。
1,3D呢？
-1,别来带节奏 去找酷酷
-1,DDDD欺骗大众
1,组织没排面 不好意思
0,叫什么名字
-1,把带节奏的禁了就好，打扰了
-1,不好看，好老
-1,套尼玛的阴兵
-1,我要看下面
0,接酷酷pk，打到你一厘米不剩
-1,带节奏封七天 谢谢
-1,主播不好使
-1,主播都不好使
-1,我们家怎么天天被黑
1,这个厉害了
-1,主播就别上了吧
0,是的 tang爸
-1,组织没排面
0,报告，抓到飞哥送虎粮
1,这名字厉害
1,抬走，下一位
0,8888在哪
1,喜欢你的活不过第一集
1,不要   抬走
0,我也阳光啊，可能是不幽默
1,抬走 拜拜
1,禽兽别灭啊
1,可以啊，你们什么眼光
1,喜欢的你的都不行
0,手下留情啊
1,这个我喜欢
1,喜欢你得都不行，容易绿
-1,这女逼声音听得好烦！
1,哈哈 飘了
1,装逼装出事了
0,活该 太子死了
0,让阿星赔钱
0,多久放出来
0,终于不是主播了
0,枪爷酷酷找你
1,封的好哈哈哈
1,感谢枪爷宝图
1,20年后又是一条好汉
1,嫁出去崩了
1,太子，驾崩了
1,太子拉了个逼行
0,日天能出来吗
1,太子驾崩了0
0,终于不是主播
0,你都不敢这么漂，他还漂上了
1,这妹子可以啊
1,我大清要亡了
1,让他穿皇袍
1,俊，节哀顺变
1,他喜欢你，给我抬走
1,不错啊锁骨好看
1,白发人送黑发人啊
-1,你们啥眼光啊
1,喜欢你就凉了
1,挺漂亮，可惜眼瞎了
1,龙太子要登基了
1,喜欢你就上啊
0,上票开船
0,话又说回来了
0,啦就能晋级了
0,上个男的嘛
1,不厉害了吗？
1,先喘两声！
1,留下来。兄弟们
1,渣男团来上船了
1,这个必须听
1,四川东北河南的，哈哈
0,不是电线杆上的吧
0,老姨来升牌子？
0,拉拉星A类
1,大哥已经控制不住子集要消费了
0,别架，自由消费，都是自家大哥
-1,毕竟别人是主播，有人就添
-1,这种成天把别人当着小屁孩的嘴脸，挂着也是没谁了
0,楞楞楞楞楞
0,还不开门吗，昨天早退
-1,现实中各种心机，只想在网络上不要心机了
0,唐  在哪里相亲呢
0,我都不刷，要刷基本百来八十的
1,刚才那个好哥们儿
1,堂哥终于来了
-1,最近事多 心情不太好
0,好了。错不在他们，
0,小唐来了啊？
-1,麻杂现在飘的很阿，各种恶心人
0,哈喽大家好
-1,新闻又安排上了？谁搞的？
0,海鲜大亨 来了
-1,上你妹的新闻
0,云海哥你是大哥小号还是？
-1,523下午在小顺那怎么都不敢说话？麻将馆霸屏，哈哈，气不气
0,唐哥呢  不会又走了吧？
0,骚，都不在意那些新闻，希望兄弟们不要给带节奏的画面
0,什么不敢说话。那是看到你们小偷就躲得远远的
-1,一级小号，乐色
-1,不要提别的主播
0,你看麻将馆的敢进神坑直播间么
0,堂哥 夹包来的
1,我唐今天在女主播那里一顿豪刷
1,今天包里有钱
0,海哥说的啥
-1,算了，别提了
0,输r管是谁
0,剑士黄了，
0,前天爵位团剑士200组
0,领主排面大
1,云海哥也流弊
1,容我说一句，光头强是位大手子
0,唐爸去了个黑店
1,缓个够八，你给我飞
1,都是开玩笑，说架的都不是铁粉
-1,贵宾就我一个剑皇 好无聊呀
0,来了来了，他来了
0,来了来了他来了
1,俊哥你偷偷让我们聊天了吧
1,嗓子好点了吗骚
1,报告，拉哥在外面消费了500快
1,气份不错，来上一灯，老骚
0,复制唐哥说话
0,堂哥说话了  复制啊
-1,场控沟八飘了。
0,tang: 在呢，骚
1,好！干的好，点个灯庆祝一下。
0,我要点灯，老骚复制我说话
1,今晚变帅气啦……
0,能不能来流畅我山上网不好带不动
0,能不能开个流畅
0,出去再进来就有流畅了
0,把我的下了给他
1,这小家伙长的真带劲
-1,老骚老骚，都让你坑退网了，换一批
1,哈哈这都记得
1,老骚记得我吗
1,我了，老骚
0,老骚，我行不行，
0,骚，这是我小号
1,年度你爹个老篮子
1,又来个剑皇手子
1,吕哥，大唐，剑士今天要崛起啊
1,看来今晚剑皇要来一灯了
0,来523的都收
0,收 改马甲
0,每天升升牌子挺好
0,我俊哥好使和官方说说就出来了
1,太子死亡了嘛
0,影娱的T了
0,那大佬枪爷的帐号去装逼听说
0,要别的主播给他发红包，直播要钱
0,直播骗钱，所以被A了
1,别欠了，把我送出去吧！
0,曾经哥要成都的
1,这个榜 哈哈哈
0,这不是主播。上
0,新货 了解一下
0,..............
-1,看直播间好万
1,哈哈哈哈哈哈
0,年龄还可以吧
0,捡漏组又没机会了
0,东莞出来的
1,哈哈哈哈哈哈呵
1,哇，可以啊这个
1,我看我靠我靠
1,这尼玛对a？？？
0,。。。。。
1,哇哇。活好不粘人
1,哇啊哇哇哇
0,海哥要拿下
0,海哥，你给我上
0,她有老虎衣服
0,大点干   早点散
1,劝你们善良
1,干得好 黑夜哥
0,相亲+VX:90443011 3张照片+电话 妹子优先
0,她有沟
0,她有沟她有沟
1,太难了
1,灯下留人啊
1,这个其实综合起来挺好！
1,小姐姐太难了
0,还玩个勾八
1,这么好的小姐姐你们都灭，活该单身
1,欠了一万个男盆友了
-1,好的也灭？谁还敢上啊，而且这个还不是主播
1,这相亲太难了
-1,又厉害了？
1,完了完了完了
1,骚可以自己上了
1,解锁新姿势兄弟们
0,老骚怕不怕挨打
0,！！！！！！
0,大大已大大
0,大大一哒哒
0,大大以大大
0,老骚，我喝酒了
0,曾经  你要被骂了
0,虎良不算弟弟们，得刷钱
0,她家庭暴力可咋办
0,怎么条件？
1,曾经哥给我们捡漏的留一点呀
1,还相个勾八捡个漏都捡不到
1,活该单身
1,灭灯狂魔，是时候该你表演了
1,感谢大白哥
1,老骚太难了
0,相亲VX:dwj31501342照片电话妹子优先
-1,别人家的妹妹别想在523混订阅阿
-1,你还是下吧
1,大白哥，怎么肥事！
1,这是一点机会都不给啊
-1,老骚 你怎么了？
-1,一个两个都有病
0,2个8888多钱？
-1,就是娱乐，有钱怎么刷都行，不要带节奏
0,#虎牙获得*23402
-1,灭了我不可爱
-1,毁了她
0,她有黄头发
-1,一米五都没有。给我灭
1,他还有帽子
0,李家村了解一下
0,可以mc自己上
0,mc 自己上
-1,崩溃。。。。。。
0,本直播间以刷为本，了解一下，可以MC自己上
0,没有一个活下来的
-1,这状态还不如，下播休息
0,结束啦
0,上男的，大哥多
0,是九妹不是狗妹
1,适合俊哥
1,狗妹哈哈哈哈比
1,狗妹出镜了
1,狗妹开摄像头了
1,她有双眼皮
-1,狗妹丑的一批 直播露脸了
1,狗妹露脸了
1,狗妹露脸了哈哈哈
1,十大未解之谜解了
1,酒窝姐你要玩啊
1,灭灯狂魔啊
0,我是成都得
0,跪求狗妹直播间
0,两天 一个活的都没有
-1,我想肛一波   来个男的
0,狗妹直播间叫啥
0,我要健身教练。我上
1,狗妹是个娃娃！哈哈
1,狗某人太可怕了
0,我发给微信号了
1,狗妹开视频了
0,直接抬走8888
0,去狗妹看一眼就回来了
0,不上男的吗
1,李小璐，不要
0,曾经哥这个是成都的
1,他是开朗的女人
-1,都去狗妹哪了  这班勾八
-1,狗没把你人气都拉跑了
0,上狗妹截图
1,要媳妇干什么。是手机不好玩还是游戏不好玩？
1,多年来我一直以为狗妹是男孩子
0,没实力不敢上了
1,自己家好妹妹，老骚不会炸的。
0,干脆查个房 俊哥
1,狗妹化化妆的话还可以
0,5个火箭查房了解下
1,我再去  看狗妹   我就是个弟弟
1,迷，还是要有点神秘感好
1,俊哥今天累了就早点休息
0,还好吧，不丑
1,和你配一脸
1,名字取的很酷啊
-1,像不像猪八戒
-1,眉毛一毛一样
0,的确紧张了
1,你们真的是两兄妹！！胖子，婴儿肥
1,老骚，刷组吓唬她
1,跟俊哥长的一样
0,这是狗妹儿？
1,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1,看了狗妹、我梦醒了……跟你太像了
1,查房过去吓吓他
1,她叫群众回去
0,老骚交视频费
1,终于解开了
1,吓跑了哈哈
1,凉了个必行
1,狗妹对你是真爱
1,给你吓跑了
1,骚，她像你闺女
1,b类那个兄弟，你站住
1,狗妹梦醒了
1,拉了 麻将馆人气都比你高了
1,终于结束了梦醒了
1,你俩真是缘份
1,她来了来了
1,今晚可以情感电台
0,狗妹又播了
1,连狗妹给他唱歌
1,冰吻，老骚87-88年的
1,这是一个有故事的男人
1,骚可以啊，才艺主播
1,俊哥最帅
0,愿意看自己过去看，不要带节奏，感谢
0,收一收  去看吧
1,狗妹果然是个小胖子
1,我要消费，没活动了
0,玩个游戏吧
0,多喝点水，聊聊天，少抽烟
0,现在上30岁身体就不怎么好了
1,给狗妹点画面
0,可以穿军大衣了
0,玩一站到底
1,大家好好听老骚好好唠嗑就完了
1,聊聊挺好的
1,谈谈心挺好的
1,骚，我想听你跟你前任的故事！
1,我爱骚，爱523
1,狗妹太死亡了
1,解说狗妹 开心开心
0,怪不得一幅快要死的样子
1,用妇炎洁洗洗
0,你今天下早点
1,妇炎洁了解一下
1,少抽烟多喝水
1,俊哥你觉得万人会给我生孩子么？
0,给r哥卡爷
1,快上个宝图，老骚一下就精神了
0,直播间要拉了
1,解答了虎牙十大未解之谜狗妹长啥样。
1,外面的好开
0,憋着不要上大号
0,马应龙啊！
1,r哥你说说话
1,一会我把梦哥叫过来，看你还痛不痛
1,老骚需要帮助吗  我是妇科圣手了解一下
1,找狗妹给你舔一下就好了
1,痔疮不能久坐，
-1,把那个勾八禁言了
0,大姨夫来了
-1,出来一坨，捅进去
-1,俊哥，抹点芥末，不要告诉别人这个秘方
0,不能着凉，不吃辛辣，不要喝酒
0,俊哥我送你的迈巴赫收到没？
0,嗯嗯嗯嗯嗯嗯
0,那是没吃饱
-1,搞跟烧火棍捅进去
-1,很疼的，套
-1,我现在就牙疼
-1,上火的过  吃饭疼
-1,马应龙可以，我前面疼的厉害一贴就好了
-1,可以去割掉
-1,你是不是便秘了！要不痔疮不能犯
0,牙疼的联系我，祖传的不要钱
0,熬夜你泡茶喝，要绿茶（龙井之类）
0,一天坐的时间太长了，就会有痔疮，十个司机九个都有！
1,经常按孔最穴就会舒服多
0,疼得我一夜来回溜达
1,我来爆你一下菊花就好来
1,套，你都好意思扒开来给我们看，你还有啥不好意思的
0,俊哥你声音太小
1,可以趴着直播哈哈哈
1,两块肉往开掰，会舒服
1,狗妹，露脸了。老骚啊
-1,别逼逼妹，有病吧，想看就去看，
-1,再说的踢了
1,感谢各位哥哥姐姐的支持与陪伴，非常感谢，你们辛苦了。
0,还没有迷糊
0,骚今天嗓子疼，身体不舒服大家多多理解
1,哎呀哎呀哎呀  换裤衩去
1,大家随礼
-1,带尼玛一晚上节奏了   累不累啊  看个直播有必要？
0,应该是见红了没
-1,麻队长人气都比你高了
1,最爱听俊哥讲八卦
0,大事件都给狗妹吃上了
0,下播吧俊哥
1,今天就早点下也没事
1,放心，我不给小妹妹刷，留给你的，休息吧，俊
0,一起叫老骚去休息吧
0,下班吧。明天找时间搬家
0,没事没人说
1,早点休息吧
1,你休息我们也能睡早点
1,下吧去休息也好
-1,有火烧的感觉 就是下播也睡不着 也是坐立难安
0,老骚说得对
0,我变成小虎牙了
0,你快下播 我要看电影了
